"","var1","var2","cor","p","case","participant_id"
"190","pm25_ratio","pm25_outdoor",-0.079,3.27e-35,"hepa","44241"
"191","pm10_ratio","pm25_outdoor",-0.021,0.000792,"hepa","44241"
"192","pm1num_ratio","pm25_outdoor",-0.087,6.93e-43,"hepa","44241"
"193","pm1_indoor","pm10_indoor",0.32,0,"hepa","44241"
"194","pm1_outdoor","pm10_indoor",0.05,2.25e-15,"hepa","44241"
"195","pm25_indoor","pm10_indoor",0.77,0,"hepa","44241"
"196","pm25_outdoor","pm10_indoor",0.035,4.61e-08,"hepa","44241"
"197","pm10_indoor","pm10_indoor",1,0,"hepa","44241"
"198","pm10_outdoor","pm10_indoor",0.013,0.0489,"hepa","44241"
"199","pm1num_indoor","pm10_indoor",0.22,2.34e-268,"hepa","44241"
"200","pm1num_outdoor","pm10_indoor",0.019,0.00274,"hepa","44241"
"201","pm1_ratio","pm10_indoor",0.093,1.15e-48,"hepa","44241"
"202","pm25_ratio","pm10_indoor",0.27,0,"hepa","44241"
"203","pm10_ratio","pm10_indoor",0.82,0,"hepa","44241"
"204","pm1num_ratio","pm10_indoor",0.06,5.38e-21,"hepa","44241"
"205","pm1_indoor","pm10_outdoor",-0.0014,0.821,"hepa","44241"
"206","pm1_outdoor","pm10_outdoor",0.068,1.2e-26,"hepa","44241"
"207","pm25_indoor","pm10_outdoor",0.0071,0.262,"hepa","44241"
"208","pm25_outdoor","pm10_outdoor",0.55,0,"hepa","44241"
"209","pm10_indoor","pm10_outdoor",0.013,0.0489,"hepa","44241"
"210","pm10_outdoor","pm10_outdoor",1,0,"hepa","44241"
"211","pm1num_indoor","pm10_outdoor",-0.0029,0.645,"hepa","44241"
"212","pm1num_outdoor","pm10_outdoor",0.079,2.13e-35,"hepa","44241"
"213","pm1_ratio","pm10_outdoor",-0.022,0.000691,"hepa","44241"
"214","pm25_ratio","pm10_outdoor",-0.019,0.00233,"hepa","44241"
"215","pm10_ratio","pm10_outdoor",-0.0099,0.118,"hepa","44241"
"216","pm1num_ratio","pm10_outdoor",-0.023,0.000327,"hepa","44241"
"217","pm1_indoor","pm1num_indoor",0.91,0,"hepa","44241"
"218","pm1_outdoor","pm1num_indoor",0.038,1.43e-09,"hepa","44241"
"219","pm25_indoor","pm1num_indoor",0.7,0,"hepa","44241"
"220","pm25_outdoor","pm1num_indoor",0.0089,0.163,"hepa","44241"
"221","pm10_indoor","pm1num_indoor",0.22,2.34e-268,"hepa","44241"
"222","pm10_outdoor","pm1num_indoor",-0.0029,0.645,"hepa","44241"
"223","pm1num_indoor","pm1num_indoor",1,0,"hepa","44241"
