"","deployment","room","participant_id","environment","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","peak_width"
"128","RH","classroom","business_s2","indoor",337,305,353,3.8758,-0.0381784489908832,1.02027470000469e-06,50.3897,FALSE,48
"129","RH","classroom","business_s2","indoor",337,325,361,4.0231,-0.082090607807563,8.23358976453846e-07,45.83845,TRUE,36
"130","RH","classroom","business_s2","indoor",397,385,409,4.5423,-0.12772599334541,2.15088544592298e-06,32.6651,TRUE,24
"131","RH","classroom","business_s2","indoor",401,353,465,4.0523,-0.00963858059536475,2.12759315389625e-06,197.1266,FALSE,112
"132","RH","classroom","business_s2","indoor",457,445,481,3.9349,-0.0848826719875317,1.32538437506516e-06,44.96985,TRUE,36
"133","RH","classroom","business_s2","indoor",529,513,545,2.7867,-0.0320241874471603,2.79937906874811e-07,37.67455,FALSE,32
"134","RH","classroom","business_s2","indoor",565,541,577,1.9534,-0.0476821491566894,7.22206582529693e-07,19.71775,TRUE,36
"135","RH","classroom","business_s2","indoor",637,625,673,2.6925,-0.0240588032986625,9.61714885359777e-07,65.85885,TRUE,48
"136","RH","classroom","business_s2","indoor",641,625,657,3.0336,-0.02433778108624,7.06435729740156e-06,43.14685,FALSE,32
"137","RH","classroom","business_s2","indoor",721,705,753,2.7707,-0.0129553318630684,1.60195428806065e-06,80.53635,FALSE,48
"138","RH","classroom","business_s2","indoor",733,721,745,11.9578,-0.139975473817808,1.43047363839087e-06,81.9676,TRUE,24
"139","RH","classroom","business_s2","indoor",785,753,833,3.2034,-0.00808974037415264,4.04645872110659e-07,126.11725,FALSE,80
"140","RH","classroom","business_s2","indoor",793,769,805,2.1665,-0.0912179260407758,4.87618257044743e-06,18.04335,TRUE,36
"141","RH","classroom","business_s2","indoor",877,853,889,4.6536,-0.0977688347711729,5.80496865065117e-07,37.72405,TRUE,36
"142","RH","classroom","business_s2","indoor",929,897,961,6.9578,-0.0330308412686911,5.85680590349835e-07,142.8914,FALSE,64
"143","RH","classroom","business_s2","indoor",937,925,961,2.617,-0.0839662284753554,1.35413452614628e-06,29.9379,TRUE,36
"144","RH","classroom","business_s2","indoor",1009,993,1057,7.4973,-0.0234616097915191,5.07940486697371e-06,202.49965,FALSE,64
"145","RH","classroom","business_s2","indoor",1045,1033,1057,1.6399,-0.0575938208079761,2.85654873775351e-06,15.80605,TRUE,24
"146","RH","classroom","business_s2","indoor",1073,1057,1089,6.4488,-0.0442750514407476,3.07758261597038e-06,80.75255,FALSE,32
