"","x","y","r","case","participant_id","environment","place_id"
"237","pm25","concent",0.246815282461239,"on","class2","indoor","LF"
"238","pm10","pm1num",0.207699535618765,"on","class2","indoor","LF"
"239","pm10","concent",0.303677893798301,"on","class2","indoor","LF"
"240","pm1num","concent",0.215480790214331,"on","class2","indoor","LF"
"241","pm1","pm25",0.935278650304885,"on","class4","indoor","LF"
"242","pm1","pm10",0.077926411770008,"on","class4","indoor","LF"
"243","pm1","pm1num",0.960009037786536,"on","class4","indoor","LF"
"244","pm1","concent",0.317919489025815,"on","class4","indoor","LF"
"245","pm25","pm10",0.369246998898986,"on","class4","indoor","LF"
"246","pm25","pm1num",0.921285491154944,"on","class4","indoor","LF"
"247","pm25","concent",0.254003142028499,"on","class4","indoor","LF"
"248","pm10","pm1num",0.110257833804315,"on","class4","indoor","LF"
"249","pm10","concent",-0.0695800839151164,"on","class4","indoor","LF"
"250","pm1num","concent",0.305759441159623,"on","class4","indoor","LF"
"251","pm1","pm25",0.988288202446504,"on","infant","indoor","SS"
"252","pm1","pm10",0.802915822583683,"on","infant","indoor","SS"
"253","pm1","pm1num",0.660318684711418,"on","infant","indoor","SS"
"254","pm1","concent",0.270217324631342,"on","infant","indoor","SS"
"255","pm25","pm10",0.835770899666327,"on","infant","indoor","SS"
"256","pm25","pm1num",0.715144655177192,"on","infant","indoor","SS"
"257","pm25","concent",0.266401463702724,"on","infant","indoor","SS"
"258","pm10","pm1num",0.622909094814765,"on","infant","indoor","SS"
"259","pm10","concent",0.224029011949082,"on","infant","indoor","SS"
"260","pm1num","concent",0.471731020742239,"on","infant","indoor","SS"
"261","pm1","pm25",0.98611311776298,"on","preschool","indoor","SS"
"262","pm1","pm10",0.686128434972995,"on","preschool","indoor","SS"
"263","pm1","pm1num",0.760214279748372,"on","preschool","indoor","SS"
"264","pm1","concent",0.414941120205881,"on","preschool","indoor","SS"
"265","pm25","pm10",0.746227018668452,"on","preschool","indoor","SS"
"266","pm25","pm1num",0.813831821686426,"on","preschool","indoor","SS"
"267","pm25","concent",0.453091176482276,"on","preschool","indoor","SS"
"268","pm10","pm1num",0.629616036959916,"on","preschool","indoor","SS"
"269","pm10","concent",0.475922295124075,"on","preschool","indoor","SS"
"270","pm1num","concent",0.574570996891131,"on","preschool","indoor","SS"
"271","pm1","pm25",0.985493979802108,"on","all","indoor","all"
"272","pm1","pm10",0.58816815688603,"on","all","indoor","all"
"273","pm1","pm1num",0.724894221704644,"on","all","indoor","all"
"274","pm1","concent",0.513210429367708,"on","all","indoor","all"
"275","pm25","pm10",0.681694800127213,"on","all","indoor","all"
"276","pm25","pm1num",0.735539270239378,"on","all","indoor","all"
"277","pm25","concent",0.528747114993794,"on","all","indoor","all"
"278","pm10","pm1num",0.46242999572852,"on","all","indoor","all"
"279","pm10","concent",0.415442487454634,"on","all","indoor","all"
"280","pm1num","concent",0.46591950388049,"on","all","indoor","all"
