"","participant_id","room_type","area","place_id","environment","type","beta_room_type","case","mean","median","q5","q25","q75","q95","sd"
"116","all","daycare","all","all","outdoor","concent",NA,"on",14496.7462227374,9396.99064285714,2981.65416666667,5594.52916666666,17270.4,45376.0171666667,14734.4705658531
"117","all","daycare","all","all","outdoor","concent",NA,"redu",43.2653163805238,42.9037246418513,14.8407005083874,26.5853175774834,50.5104725094478,42.7227183220079,38.8537335132132
"118","all","daycare","all","all","ratio","concent",NA,"off",0.330530157741397,0.219293061348986,0.046742958031522,0.117606811722403,0.432324879114272,0.993441101567624,0.323344897086503
"119","all","daycare","all","all","ratio","concent",NA,"on",0.223190480374543,0.190797908066716,0.0538676078204277,0.1309247,0.2699402,0.5010851,0.155170532688745
"120","all","daycare","all","all","ratio","concent",NA,"redu",32.4750026140838,12.994097080401,-15.2421885326579,-11.3240790074578,37.5607990562464,49.5606635149984,52.0108298949797
"121","all","office","all","all","indoor","concent",NA,"off",4578.63753998049,3571.967,1685.35666666667,2546.417,5652.45,9528.53319999999,3949.58386176818
"122","all","office","all","all","indoor","concent",NA,"on",3021.4124247722,2523.6975,423.08125,1094.64583333333,4130.475,7425.4825,2475.41903778861
"123","all","office","all","all","indoor","concent",NA,"redu",34.0106658719031,29.3471216279434,74.8966341447014,57.012310500074,26.9259347716477,22.0710854006365,37.3245606518051
"124","all","office","all","all","outdoor","concent",NA,"off",11817.7471948006,9701.71666666666,2837.58333333333,6645.25025,14196.385,26966.5975,8738.55315554155
"125","all","office","all","all","outdoor","concent",NA,"on",15282.1858087761,13463.02,3945.5264,7323.1165,20811.545,32590.692,9888.39614101367
"126","all","office","all","all","outdoor","concent",NA,"redu",-29.3155586836363,-38.7694617619219,-39.0453049837011,-10.2007633196357,-46.5974964753351,-20.8557809341724,-13.1582764904617
"127","all","office","all","all","ratio","concent",NA,"off",0.442083599131141,0.3965138,0.187179308087904,0.3164026,0.50130050737596,0.79176726,0.302724423267647
"128","all","office","all","all","ratio","concent",NA,"on",0.23461751741918,0.216502,0.11960415,0.18341305,0.2581371,0.42209505,0.110099628103319
"129","all","office","all","all","ratio","concent",NA,"redu",46.9291514364498,45.3986216873158,36.1018313285831,42.0317500551512,48.5065153132978,46.6895044384634,63.6304111459229
"130","all",NA,"all","all","indoor","concent","EB-daycare","off",5370.57895140096,3862.66666666667,606.89,1885.71666666666,7568.475,14801.7041666667,5015.58997062281
