"","participant_id","environment","pm","hepa","k_val_mean","k_val_median","k_val_min","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n","total_exposure"
"26","105","indoor","pm1",TRUE,-0.0281370900672799,-0.0221579318316157,-0.0988485027093008,-0.00773564090732019,17.6298181818182,10.219,3.705,49.572,152.454545454545,107,41,682,6710.376,11,21445.198
"27","105","indoor","pm25",FALSE,-0.00822532270091802,-0.00720104824410131,-0.0171481963038912,-0.00148290730523785,17.43125,14.954,6.32,37.883,290.8125,228.5,66,771,26560.073,16,65656.68
"28","105","indoor","pm25",TRUE,-0.0265432800301454,-0.0233853453466167,-0.0957703036196359,-0.0110312431811454,22.466,12.766,3.797,98.447,128,88.5,43,617,12851.099,16,32108.025
"29","105","indoor","pm10",FALSE,-0.177072605405339,-0.0355800227570387,-1.76707929487704,-0.00120568883762465,111.046,55.4365,14.703,640.581,131.038461538462,95.5,20,551,46386.661,26,129395.833
"30","105","indoor","pm10",TRUE,-0.0518576011436702,-0.031957091380836,-0.18676185981039,-0.0145155577307264,66.8453333333333,46.276,17.066,167.911,90.6190476190476,56,20,460,29671.043,21,93714.408
"31","308","indoor","pm1",FALSE,-0.012413581975888,-0.00748218304815082,-0.101139564654588,-0.00111669913487386,19.5511304347826,11.924,5.164,49.935,258,213,22,645,39936.379,23,86712.265
"32","308","indoor","pm1",TRUE,-0.0305901162934393,-0.0275630484896804,-0.0579400700407451,-0.00244813893540217,15.8969,7.0235,3.331,49.178,133.35,81,27,535,11699.218,20,27082.3
"33","308","indoor","pm25",FALSE,-0.00997195131444016,-0.00678822285219029,-0.0803595222252876,-0.00198972940026237,27.6401111111111,12.473,5.989,99.871,280.074074074074,222,34,1213,67515.379,27,121198.795
"34","308","indoor","pm25",TRUE,-0.0287643946448996,-0.0271494834855887,-0.0588966711368049,-0.00239642878122457,18.1414516129032,7.036,3.676,76.868,120.387096774194,89,20,535,17493.14,31,40585.703
"35","308","indoor","pm10",FALSE,-0.0749327744924942,-0.0221189106676828,-0.759999482286312,0.0228519122799638,151.246384615385,53.688,18.381,897.555,184.487179487179,127,20,489,140275.064,39,263724.001
