timestamp,timestamp_local,sn,sample_rh,sample_temp,sample_pres,lat,lon,device_state,pm1,pm25,pm10
2023-03-01T22:20:58Z,2023-03-01T17:20:58Z,MOD-PM-00231,53.83,5.17,0.0,42.3161,-71.078,ACTIVE,2.352,2.798,7.164
2023-03-01T22:19:58Z,2023-03-01T17:19:58Z,MOD-PM-00231,53.5,5.19,0.0,42.3161,-71.078,ACTIVE,2.933,3.795,7.731
2023-03-01T22:18:58Z,2023-03-01T17:18:58Z,MOD-PM-00231,53.04,5.2,0.0,42.3161,-71.078,ACTIVE,2.306,2.923,11.347
2023-03-01T22:17:58Z,2023-03-01T17:17:58Z,MOD-PM-00231,52.86,5.21,0.0,42.3161,-71.078,ACTIVE,2.197,2.789,14.149
2023-03-01T22:16:58Z,2023-03-01T17:16:58Z,MOD-PM-00231,52.83,5.22,0.0,42.3161,-71.078,ACTIVE,2.406,3.191,8.239
2023-03-01T22:15:58Z,2023-03-01T17:15:58Z,MOD-PM-00231,52.94,5.24,0.0,42.3161,-71.078,ACTIVE,2.293,2.906,6.173
2023-03-01T22:14:58Z,2023-03-01T17:14:58Z,MOD-PM-00231,52.85,5.25,0.0,42.3161,-71.078,ACTIVE,2.699,3.302,5.167
2023-03-01T22:13:58Z,2023-03-01T17:13:58Z,MOD-PM-00231,53.32,5.27,0.0,42.3161,-71.078,ACTIVE,2.737,3.763,9.636
2023-03-01T22:12:58Z,2023-03-01T17:12:58Z,MOD-PM-00231,55.0,5.27,0.0,42.3161,-71.078,ACTIVE,2.461,3.18,11.745
2023-03-01T22:11:58Z,2023-03-01T17:11:58Z,MOD-PM-00231,55.08,5.28,0.0,42.3161,-71.078,ACTIVE,2.496,3.273,19.83
2023-03-01T22:10:58Z,2023-03-01T17:10:58Z,MOD-PM-00231,55.85,5.3,0.0,42.3161,-71.078,ACTIVE,3.144,3.888,13.261
2023-03-01T22:09:58Z,2023-03-01T17:09:58Z,MOD-PM-00231,55.81,5.3,0.0,42.3161,-71.078,ACTIVE,3.079,4.217,21.354
2023-03-01T22:08:58Z,2023-03-01T17:08:58Z,MOD-PM-00231,55.78,5.31,0.0,42.3161,-71.078,ACTIVE,2.838,3.7,18.185
2023-03-01T22:07:58Z,2023-03-01T17:07:58Z,MOD-PM-00231,55.68,5.33,0.0,42.3161,-71.078,ACTIVE,2.415,3.59,25.402
2023-03-01T22:06:58Z,2023-03-01T17:06:58Z,MOD-PM-00231,55.43,5.34,0.0,42.3161,-71.078,ACTIVE,2.53,3.425,8.305
2023-03-01T22:05:58Z,2023-03-01T17:05:58Z,MOD-PM-00231,54.91,5.35,0.0,42.3161,-71.078,ACTIVE,2.73,4.063,34.245
2023-03-01T22:04:58Z,2023-03-01T17:04:58Z,MOD-PM-00231,54.86,5.36,0.0,42.3161,-71.078,ACTIVE,2.747,3.959,8.761
2023-03-01T22:03:58Z,2023-03-01T17:03:58Z,MOD-PM-00231,54.72,5.37,0.0,42.3161,-71.078,ACTIVE,2.955,4.159,10.539
2023-03-01T22:02:58Z,2023-03-01T17:02:58Z,MOD-PM-00231,54.86,5.38,0.0,42.3161,-71.078,ACTIVE,2.38,3.114,12.943
2023-03-01T22:01:58Z,2023-03-01T17:01:58Z,MOD-PM-00231,54.44,5.4,0.0,42.3161,-71.078,ACTIVE,2.828,4.154,16.333
2023-03-01T22:00:58Z,2023-03-01T17:00:58Z,MOD-PM-00231,54.37,5.4,0.0,42.3161,-71.078,ACTIVE,3.18,4.304,16.43
2023-03-01T21:59:58Z,2023-03-01T16:59:58Z,MOD-PM-00231,54.21,5.42,0.0,42.3161,-71.078,ACTIVE,3.038,3.84,26.276
2023-03-01T21:58:58Z,2023-03-01T16:58:58Z,MOD-PM-00231,54.04,5.44,0.0,42.3161,-71.078,ACTIVE,3.635,4.746,20.171
2023-03-01T21:57:58Z,2023-03-01T16:57:58Z,MOD-PM-00231,54.07,5.45,0.0,42.3161,-71.078,ACTIVE,2.096,3.056,15.344
2023-03-01T21:56:58Z,2023-03-01T16:56:58Z,MOD-PM-00231,54.31,5.45,0.0,42.3161,-71.078,ACTIVE,3.158,4.382,10.409
2023-03-01T21:55:58Z,2023-03-01T16:55:58Z,MOD-PM-00231,54.41,5.46,0.0,42.3161,-71.078,ACTIVE,3.28,3.971,45.319
2023-03-01T21:54:58Z,2023-03-01T16:54:58Z,MOD-PM-00231,54.24,5.47,0.0,42.3161,-71.078,ACTIVE,3.37,4.198,10.35
2023-03-01T21:53:58Z,2023-03-01T16:53:58Z,MOD-PM-00231,53.62,5.48,0.0,42.3161,-71.078,ACTIVE,3.08,3.992,9.486
2023-03-01T21:52:58Z,2023-03-01T16:52:58Z,MOD-PM-00231,53.61,5.49,0.0,42.3161,-71.078,ACTIVE,3.041,4.078,29.989
2023-03-01T21:51:58Z,2023-03-01T16:51:58Z,MOD-PM-00231,53.98,5.5,0.0,42.3161,-71.078,ACTIVE,2.709,3.733,8.163
2023-03-01T21:50:58Z,2023-03-01T16:50:58Z,MOD-PM-00231,53.51,5.51,0.0,42.3161,-71.078,ACTIVE,2.373,3.561,26.856
2023-03-01T21:49:58Z,2023-03-01T16:49:58Z,MOD-PM-00231,53.24,5.52,0.0,42.3161,-71.078,ACTIVE,3.128,4.746,17.763
2023-03-01T21:48:58Z,2023-03-01T16:48:58Z,MOD-PM-00231,53.56,5.53,0.0,42.3161,-71.078,ACTIVE,4.229,6.766,35.375
