"","peak_idx","valley_idx","peak_hgt","k_val","conv_tol","case","participant"
"82",413,428,11769.3662207358,0.349825448043559,8.32651461592702e-08,"hepa","44621"
"83",534,551,35427.1705685619,0.432916960738791,2.04015274838347e-06,"hepa","44621"
"84",656,673,36526.5501672241,0.364258566860272,1.14183761064054e-06,"hepa","44621"
"85",695,710,132171.29,0.165885678011736,3.58463255461584e-06,"hepa","44621"
"86",828,844,12735.6070234114,0.383480178325039,3.58068340834748e-06,"hepa","44621"
"87",870,883,76300.8542713568,0.326473842946579,3.59287217342562e-06,"hepa","44621"
"88",944,962,70454.9782608696,0.503519198324425,1.80576923118934e-06,"hepa","44621"
"89",971,987,127224.52006689,0.300665538883485,1.15540597341798e-06,"hepa","44621"
"90",45,50,41017.3093645485,0.0757231311809817,1.74342868577438e-06,"sham","42281"
"91",80,83,17353.9548494983,1.46963958967623,5.94544837910389e-06,"sham","42281"
"92",189,195,28991.3450586265,0.249583199544863,6.30581946559601e-06,"sham","42281"
"93",221,228,98509.4583333333,0.62451125921178,1.32086203294461e-06,"sham","42281"
"94",291,317,51032.7822445561,0.262154115581195,6.59130827086679e-07,"sham","42281"
"95",320,328,16428.5401337793,0.605283815040009,1.81611798880185e-07,"sham","42281"
"96",342,365,20090.5979899497,0.145098025682414,6.52756600862057e-07,"sham","42281"
"97",369,393,23424.8913043478,0.212581948574947,8.91968934533946e-07,"sham","42281"
"98",422,427,15052.1003344482,0.297359545741459,2.75331802207919e-06,"sham","42281"
"99",453,461,36479.118729097,0.55796431099796,3.18930646772636e-06,"sham","42281"
"100",481,500,125712.801003344,0.224259596735154,3.07917622568625e-06,"sham","42281"
"101",560,578,32425.835,0.35138548543594,9.31503471612816e-07,"sham","42281"
"102",623,643,128233.105527638,0.173453550893657,3.02858547054273e-06,"sham","42281"
"103",647,678,19034.365159129,0.274350074037663,2.34211592603444e-06,"sham","42281"
"104",688,706,59538.4416666667,0.257832004411944,8.41808830151595e-07,"sham","42281"
"105",788,802,21092.9145728643,0.102226694558659,2.42220096064123e-07,"sham","42281"
"106",834,855,54984.9066666667,0.266252444396071,5.03253353011904e-07,"sham","42281"
"107",861,886,51871.6923076923,0.195688827201849,1.48797887852084e-06,"sham","42281"
"108",906,930,25077.0938023451,0.123154639364773,3.63770009943022e-07,"sham","42281"
"109",977,989,49366.1088777219,0.236402763357608,2.27512419507108e-06,"sham","42281"
"110",17,34,9589.34615384615,0.197820568428069,2.95987980475752e-07,"sham","45451"
"111",325,330,40252.1371237458,0.348082041627185,7.75791643942048e-06,"sham","45451"
"112",408,427,47830.810720268,0.271274650732413,3.02678788466696e-06,"sham","45451"
"113",445,448,5990.12833333333,1.89646241906404,7.28086273104825e-06,"sham","45451"
"114",550,562,8001.78391959799,0.129187516512292,9.86854462057137e-07,"sham","45451"
"115",611,624,57554.8859060403,0.249179295746981,3.26591584572911e-06,"sham","45451"
