"","var1","var2","cor","p","case","participant_id"
"191","pm1num_outdoor","temp_indoor",0.055,5.01e-06,"sham","41181"
"192","pm1num_ratio","temp_indoor",0.26,7.38e-105,"sham","41181"
"193","temp_indoor","temp_indoor",1,0,"sham","41181"
"194","temp_outdoor","temp_indoor",-0.15,1.17e-33,"sham","41181"
"195","temp_ratio","temp_indoor",0.46,0,"sham","41181"
"196","pm1_indoor","temp_outdoor",-0.073,1.99e-09,"sham","41181"
"197","pm1_outdoor","temp_outdoor",-0.015,0.218,"sham","41181"
"198","pm1_ratio","temp_outdoor",0.063,2.04e-07,"sham","41181"
"199","pm25_indoor","temp_outdoor",-0.022,0.0745,"sham","41181"
"200","pm25_outdoor","temp_outdoor",0.0071,0.559,"sham","41181"
"201","pm25_ratio","temp_outdoor",0.062,2.63e-07,"sham","41181"
"202","pm10_indoor","temp_outdoor",0.059,1.17e-06,"sham","41181"
"203","pm10_outdoor","temp_outdoor",0.078,1.07e-10,"sham","41181"
"204","pm10_ratio","temp_outdoor",0.0092,0.449,"sham","41181"
"205","pm1num_indoor","temp_outdoor",-0.0064,0.598,"sham","41181"
"206","pm1num_outdoor","temp_outdoor",-0.26,4.6e-108,"sham","41181"
"207","pm1num_ratio","temp_outdoor",0.29,3.43e-134,"sham","41181"
"208","temp_indoor","temp_outdoor",-0.15,1.17e-33,"sham","41181"
"209","temp_outdoor","temp_outdoor",1,0,"sham","41181"
"210","temp_ratio","temp_outdoor",-0.86,0,"sham","41181"
"211","pm1_indoor","temp_ratio",0.15,2.7e-36,"sham","41181"
"212","pm1_outdoor","temp_ratio",-0.064,1.2e-07,"sham","41181"
"213","pm1_ratio","temp_ratio",-0.05,3.25e-05,"sham","41181"
"214","pm25_indoor","temp_ratio",0.066,6.09e-08,"sham","41181"
"215","pm25_outdoor","temp_ratio",-0.1,3.28e-17,"sham","41181"
"216","pm25_ratio","temp_ratio",-0.046,0.000161,"sham","41181"
"217","pm10_indoor","temp_ratio",-0.11,6.77e-20,"sham","41181"
"218","pm10_outdoor","temp_ratio",-0.11,1.12e-20,"sham","41181"
"219","pm10_ratio","temp_ratio",-0.029,0.0153,"sham","41181"
"220","pm1num_indoor","temp_ratio",0.059,1.29e-06,"sham","41181"
"221","pm1num_outdoor","temp_ratio",0.23,3.49e-85,"sham","41181"
"222","pm1num_ratio","temp_ratio",-0.18,6.18e-53,"sham","41181"
"223","temp_indoor","temp_ratio",0.46,0,"sham","41181"
"224","temp_outdoor","temp_ratio",-0.86,0,"sham","41181"
"225","temp_ratio","temp_ratio",1,0,"sham","41181"
"226","pm1_indoor","pm1_indoor",1,0,"hepa","41181"
"227","pm1_outdoor","pm1_indoor",0.01,0.32,"hepa","41181"
"228","pm1_ratio","pm1_indoor",0.86,0,"hepa","41181"
"229","pm25_indoor","pm1_indoor",0.89,0,"hepa","41181"
"230","pm25_outdoor","pm1_indoor",-0.09,4.22e-19,"hepa","41181"
"231","pm25_ratio","pm1_indoor",0.78,0,"hepa","41181"
"232","pm10_indoor","pm1_indoor",0.33,1.51e-253,"hepa","41181"
"233","pm10_outdoor","pm1_indoor",-0.065,1.7e-10,"hepa","41181"
"234","pm10_ratio","pm1_indoor",0.16,7.32e-56,"hepa","41181"
"235","pm1num_indoor","pm1_indoor",0.89,0,"hepa","41181"
"236","pm1num_outdoor","pm1_indoor",-0.059,5.11e-09,"hepa","41181"
"237","pm1num_ratio","pm1_indoor",0.8,0,"hepa","41181"
"238","temp_indoor","pm1_indoor",0.15,4.3e-51,"hepa","41181"
"239","temp_outdoor","pm1_indoor",-0.0062,0.539,"hepa","41181"
"240","pm1_indoor","pm1_outdoor",0.01,0.32,"hepa","41181"
"241","pm1_outdoor","pm1_outdoor",1,0,"hepa","41181"
"242","pm1_ratio","pm1_outdoor",-0.12,2.4e-32,"hepa","41181"
"243","pm25_indoor","pm1_outdoor",-0.044,1.27e-05,"hepa","41181"
"244","pm25_outdoor","pm1_outdoor",0.21,3.18e-95,"hepa","41181"
"245","pm25_ratio","pm1_outdoor",-0.13,1.14e-39,"hepa","41181"
"246","pm10_indoor","pm1_outdoor",-0.069,7.1e-12,"hepa","41181"
"247","pm10_outdoor","pm1_outdoor",-0.14,2.86e-41,"hepa","41181"
"248","pm10_ratio","pm1_outdoor",-0.069,8.44e-12,"hepa","41181"
"249","pm1num_indoor","pm1_outdoor",-0.061,1.19e-09,"hepa","41181"
"250","pm1num_outdoor","pm1_outdoor",0.68,0,"hepa","41181"
"251","pm1num_ratio","pm1_outdoor",-0.12,4.81e-32,"hepa","41181"
"252","temp_indoor","pm1_outdoor",-0.061,1.52e-09,"hepa","41181"
"253","temp_outdoor","pm1_outdoor",-0.42,0,"hepa","41181"
"254","pm1_indoor","pm1_ratio",0.86,0,"hepa","41181"
"255","pm1_outdoor","pm1_ratio",-0.12,2.4e-32,"hepa","41181"
"256","pm1_ratio","pm1_ratio",1,0,"hepa","41181"
"257","pm25_indoor","pm1_ratio",0.82,0,"hepa","41181"
"258","pm25_outdoor","pm1_ratio",-0.11,7.52e-27,"hepa","41181"
"259","pm25_ratio","pm1_ratio",0.86,0,"hepa","41181"
"260","pm10_indoor","pm1_ratio",0.31,2.08e-215,"hepa","41181"
"261","pm10_outdoor","pm1_ratio",-0.031,0.0024,"hepa","41181"
"262","pm10_ratio","pm1_ratio",0.15,5.86e-52,"hepa","41181"
"263","pm1num_indoor","pm1_ratio",0.9,0,"hepa","41181"
"264","pm1num_outdoor","pm1_ratio",-0.12,2.87e-33,"hepa","41181"
"265","pm1num_ratio","pm1_ratio",0.88,0,"hepa","41181"
"266","temp_indoor","pm1_ratio",0.15,8.35e-49,"hepa","41181"
"267","temp_outdoor","pm1_ratio",0.066,5.06e-11,"hepa","41181"
"268","pm1_indoor","pm25_indoor",0.89,0,"hepa","41181"
"269","pm1_outdoor","pm25_indoor",-0.044,1.27e-05,"hepa","41181"
"270","pm1_ratio","pm25_indoor",0.82,0,"hepa","41181"
"271","pm25_indoor","pm25_indoor",1,0,"hepa","41181"
"272","pm25_outdoor","pm25_indoor",-0.12,5.8e-32,"hepa","41181"
"273","pm25_ratio","pm25_indoor",0.93,0,"hepa","41181"
"274","pm10_indoor","pm25_indoor",0.65,0,"hepa","41181"
"275","pm10_outdoor","pm25_indoor",-0.073,4.98e-13,"hepa","41181"
"276","pm10_ratio","pm25_indoor",0.45,0,"hepa","41181"
"277","pm1num_indoor","pm25_indoor",0.87,0,"hepa","41181"
"278","pm1num_outdoor","pm25_indoor",-0.1,1.11e-24,"hepa","41181"
"279","pm1num_ratio","pm25_indoor",0.8,0,"hepa","41181"
"280","temp_indoor","pm25_indoor",0.16,5.6e-56,"hepa","41181"
"281","temp_outdoor","pm25_indoor",0.069,1.16e-11,"hepa","41181"
"282","pm1_indoor","pm25_outdoor",-0.09,4.22e-19,"hepa","41181"
"283","pm1_outdoor","pm25_outdoor",0.21,3.18e-95,"hepa","41181"
"284","pm1_ratio","pm25_outdoor",-0.11,7.52e-27,"hepa","41181"
"285","pm25_indoor","pm25_outdoor",-0.12,5.8e-32,"hepa","41181"
"286","pm25_outdoor","pm25_outdoor",1,0,"hepa","41181"
"287","pm25_ratio","pm25_outdoor",-0.19,2.69e-77,"hepa","41181"
"288","pm10_indoor","pm25_outdoor",-0.11,4.36e-29,"hepa","41181"
"289","pm10_outdoor","pm25_outdoor",0.8,0,"hepa","41181"
"290","pm10_ratio","pm25_outdoor",-0.12,6.43e-31,"hepa","41181"
"291","pm1num_indoor","pm25_outdoor",-0.1,5.32e-23,"hepa","41181"
"292","pm1num_outdoor","pm25_outdoor",0.38,0,"hepa","41181"
"293","pm1num_ratio","pm25_outdoor",-0.13,9.31e-40,"hepa","41181"
"294","temp_indoor","pm25_outdoor",0.14,7.16e-44,"hepa","41181"
"295","temp_outdoor","pm25_outdoor",0.11,2.33e-28,"hepa","41181"
"296","pm1_indoor","pm25_ratio",0.78,0,"hepa","41181"
"297","pm1_outdoor","pm25_ratio",-0.13,1.14e-39,"hepa","41181"
"298","pm1_ratio","pm25_ratio",0.86,0,"hepa","41181"
"299","pm25_indoor","pm25_ratio",0.93,0,"hepa","41181"
"300","pm25_outdoor","pm25_ratio",-0.19,2.69e-77,"hepa","41181"
"301","pm25_ratio","pm25_ratio",1,0,"hepa","41181"
"302","pm10_indoor","pm25_ratio",0.61,0,"hepa","41181"
"303","pm10_outdoor","pm25_ratio",-0.1,6.98e-24,"hepa","41181"
"304","pm10_ratio","pm25_ratio",0.51,0,"hepa","41181"
"305","pm1num_indoor","pm25_ratio",0.84,0,"hepa","41181"
"306","pm1num_outdoor","pm25_ratio",-0.16,1.22e-59,"hepa","41181"
"307","pm1num_ratio","pm25_ratio",0.82,0,"hepa","41181"
"308","temp_indoor","pm25_ratio",0.13,6.24e-41,"hepa","41181"
"309","temp_outdoor","pm25_ratio",0.12,1.65e-34,"hepa","41181"
"310","pm1_indoor","pm10_indoor",0.33,1.51e-253,"hepa","41181"
"311","pm1_outdoor","pm10_indoor",-0.069,7.1e-12,"hepa","41181"
"312","pm1_ratio","pm10_indoor",0.31,2.08e-215,"hepa","41181"
"313","pm25_indoor","pm10_indoor",0.65,0,"hepa","41181"
"314","pm25_outdoor","pm10_indoor",-0.11,4.36e-29,"hepa","41181"
"315","pm25_ratio","pm10_indoor",0.61,0,"hepa","41181"
"316","pm10_indoor","pm10_indoor",1,0,"hepa","41181"
"317","pm10_outdoor","pm10_indoor",-0.065,1.65e-10,"hepa","41181"
