"","peak_idx","valley_idx","peak_hgt","k_val","conv_tol","case","participant","particle"
"715",174,182,26.0824,0.384755807952714,5.86891465814375e-06,"sham","46591","10"
"812",431,465,29.4399,0.433174006848471,2.66369435881945e-07,"sham","46591","10"
"912",592,600,23.6501,0.294991608822078,2.87425692609606e-06,"sham","46591","10"
"148",126,134,114.0313,1.03310190532162,1.51637909880968e-07,"hepa","46591","1"
"238",384,391,5.2441,0.121692316037875,2.42876062557985e-06,"hepa","46591","1"
"330",698,704,8.3217,0.306705004015794,2.28635886802916e-06,"hepa","46591","1"
"428",126,131,118.6271,1.03297705726114,1.30811224269455e-06,"hepa","46591","2.5"
"517",384,390,5.8207,0.0312150944460895,1.19028610296821e-06,"hepa","46591","2.5"
"616",698,704,10.1652,0.316281188628649,5.17440030794856e-06,"hepa","46591","2.5"
"716",126,138,131.0492,0.971829357788353,5.45398734222765e-07,"hepa","46591","10"
"813",832,835,19.4922,0.92663546177098,2.18658278211715e-06,"hepa","46591","10"
"149",39,53,14.1852222222222,0.0151266469059226,2.2770349237202e-06,"sham","44241","1"
"239",149,187,44.1293,0.0339860793335755,1.20219504953605e-06,"sham","44241","1"
"332",206,255,207.1493,0.115842000709781,1.35697411949298e-06,"sham","44241","1"
"429",271,283,31.4919,0.229353126609254,9.9478100402878e-07,"sham","44241","1"
"518",298,316,14.0772,0.130298026370729,1.823836735936e-06,"sham","44241","1"
"617",319,343,17.3744,0.096987536113543,2.25052562757555e-06,"sham","44241","1"
"717",406,448,9.5117,0.119517650087466,2.657114909152e-06,"sham","44241","1"
"814",469,502,11.5172,0.107629080925285,2.56548618828948e-06,"sham","44241","1"
"913",620,636,15.9897,0.222853474358098,8.72679031139363e-07,"sham","44241","1"
"1010",692,737,15.8954,0.0731778671606929,8.32656597262219e-07,"sham","44241","1"
"1115",897,939,24.1061,0.0777498881045983,2.16430826427737e-06,"sham","44241","1"
"1213",1474,1494,40.739,0.190602632724551,3.59850955546653e-07,"sham","44241","1"
"1310",1553,1598,9.9385,0.0848705353787555,2.51624301041041e-06,"sham","44241","1"
"1410",1625,1650,46.6108,0.262323755164843,1.66128021560356e-06,"sham","44241","1"
"156",1910,1942,16.1812,0.122497490257806,2.25141508901261e-07,"sham","44241","1"
"166",1989,2010,9.1217,0.279796829934752,3.13291465173253e-06,"sham","44241","1"
"176",2053,2083,10.4957,0.237496955407436,9.2451404235781e-07,"sham","44241","1"
"186",2483,2505,22.2866,0.253680318688505,9.83521727676067e-07,"sham","44241","1"
"196",2632,2681,35.5083,0.0704109157848362,4.65078906637334e-07,"sham","44241","1"
"206",149,187,48.9978,0.0303661010834559,5.141847277573e-07,"sham","44241","2.5"
"2112",206,255,239.196,0.122381604093719,6.12313231987908e-07,"sham","44241","2.5"
"2210",262,269,11.7106,0.0471614759201496,5.633843940182e-06,"sham","44241","2.5"
