"","var1","var2","cor","p","case","participant_id"
"233","inlttmp_outdoor","concent_ratio",-0.096,0,"sham","44621"
"234","inlttmp_ratio","concent_ratio",-0.019,2.87e-49,"sham","44621"
"235","concent_indoor","inlttmp_indoor",-0.084,0,"sham","44621"
"236","concent_outdoor","inlttmp_indoor",0.035,1.18e-160,"sham","44621"
"237","concent_ratio","inlttmp_indoor",-0.097,0,"sham","44621"
"238","inlttmp_indoor","inlttmp_indoor",1,0,"sham","44621"
"239","inlttmp_outdoor","inlttmp_indoor",1,0,"sham","44621"
"240","inlttmp_ratio","inlttmp_indoor",-0.092,0,"sham","44621"
"241","concent_indoor","inlttmp_outdoor",-0.083,0,"sham","44621"
"242","concent_outdoor","inlttmp_outdoor",0.036,5.46e-167,"sham","44621"
"243","concent_ratio","inlttmp_outdoor",-0.096,0,"sham","44621"
"244","inlttmp_indoor","inlttmp_outdoor",1,0,"sham","44621"
"245","inlttmp_outdoor","inlttmp_outdoor",1,0,"sham","44621"
"246","inlttmp_ratio","inlttmp_outdoor",-0.12,0,"sham","44621"
"247","concent_indoor","inlttmp_ratio",-0.017,2.07e-38,"sham","44621"
"248","concent_outdoor","inlttmp_ratio",-0.023,3.09e-70,"sham","44621"
"249","concent_ratio","inlttmp_ratio",-0.019,2.87e-49,"sham","44621"
"250","inlttmp_indoor","inlttmp_ratio",-0.092,0,"sham","44621"
"251","inlttmp_outdoor","inlttmp_ratio",-0.12,0,"sham","44621"
"252","inlttmp_ratio","inlttmp_ratio",1,0,"sham","44621"
"253","concent_indoor","concent_indoor",1,0,"hepa","44621"
"254","concent_outdoor","concent_indoor",0.18,0,"hepa","44621"
"255","concent_ratio","concent_indoor",0.78,0,"hepa","44621"
"256","inlttmp_indoor","concent_indoor",0.084,0,"hepa","44621"
"257","inlttmp_outdoor","concent_indoor",0.093,0,"hepa","44621"
"258","inlttmp_ratio","concent_indoor",-0.15,0,"hepa","44621"
"259","concent_indoor","concent_outdoor",0.18,0,"hepa","44621"
"260","concent_outdoor","concent_outdoor",1,0,"hepa","44621"
"261","concent_ratio","concent_outdoor",-0.073,0,"hepa","44621"
"262","inlttmp_indoor","concent_outdoor",-0.12,0,"hepa","44621"
"263","inlttmp_outdoor","concent_outdoor",-0.11,0,"hepa","44621"
"264","inlttmp_ratio","concent_outdoor",-0.012,6.62e-19,"hepa","44621"
"265","concent_indoor","concent_ratio",0.78,0,"hepa","44621"
"266","concent_outdoor","concent_ratio",-0.073,0,"hepa","44621"
"267","concent_ratio","concent_ratio",1,0,"hepa","44621"
"268","inlttmp_indoor","concent_ratio",0.097,0,"hepa","44621"
"269","inlttmp_outdoor","concent_ratio",0.1,0,"hepa","44621"
"270","inlttmp_ratio","concent_ratio",-0.13,0,"hepa","44621"
"271","concent_indoor","inlttmp_indoor",0.084,0,"hepa","44621"
"272","concent_outdoor","inlttmp_indoor",-0.12,0,"hepa","44621"
"273","concent_ratio","inlttmp_indoor",0.097,0,"hepa","44621"
"274","inlttmp_indoor","inlttmp_indoor",1,0,"hepa","44621"
"275","inlttmp_outdoor","inlttmp_indoor",1,0,"hepa","44621"
"276","inlttmp_ratio","inlttmp_indoor",-0.32,0,"hepa","44621"
"277","concent_indoor","inlttmp_outdoor",0.093,0,"hepa","44621"
"278","concent_outdoor","inlttmp_outdoor",-0.11,0,"hepa","44621"
"279","concent_ratio","inlttmp_outdoor",0.1,0,"hepa","44621"
"280","inlttmp_indoor","inlttmp_outdoor",1,0,"hepa","44621"
"281","inlttmp_outdoor","inlttmp_outdoor",1,0,"hepa","44621"
"282","inlttmp_ratio","inlttmp_outdoor",-0.39,0,"hepa","44621"
"283","concent_indoor","inlttmp_ratio",-0.15,0,"hepa","44621"
"284","concent_outdoor","inlttmp_ratio",-0.012,6.62e-19,"hepa","44621"
"285","concent_ratio","inlttmp_ratio",-0.13,0,"hepa","44621"
"286","inlttmp_indoor","inlttmp_ratio",-0.32,0,"hepa","44621"
"287","inlttmp_outdoor","inlttmp_ratio",-0.39,0,"hepa","44621"
"288","inlttmp_ratio","inlttmp_ratio",1,0,"hepa","44621"
"289","concent_indoor","concent_indoor",1,0,"sham","45451"
"290","concent_outdoor","concent_indoor",0.22,0,"sham","45451"
"291","concent_ratio","concent_indoor",0.55,0,"sham","45451"
"292","inlttmp_indoor","concent_indoor",-0.12,0,"sham","45451"
"293","inlttmp_outdoor","concent_indoor",-0.12,0,"sham","45451"
"294","inlttmp_ratio","concent_indoor",-0.0064,0.00163,"sham","45451"
"295","concent_indoor","concent_outdoor",0.22,0,"sham","45451"
"296","concent_outdoor","concent_outdoor",1,0,"sham","45451"
"297","concent_ratio","concent_outdoor",-0.14,0,"sham","45451"
"298","inlttmp_indoor","concent_outdoor",-0.46,0,"sham","45451"
"299","inlttmp_outdoor","concent_outdoor",-0.46,0,"sham","45451"
"300","inlttmp_ratio","concent_outdoor",-0.3,0,"sham","45451"
"301","concent_indoor","concent_ratio",0.55,0,"sham","45451"
"302","concent_outdoor","concent_ratio",-0.14,0,"sham","45451"
"303","concent_ratio","concent_ratio",1,0,"sham","45451"
"304","inlttmp_indoor","concent_ratio",-0.04,4.12e-87,"sham","45451"
"305","inlttmp_outdoor","concent_ratio",-0.049,9.4e-127,"sham","45451"
"306","inlttmp_ratio","concent_ratio",0.06,6.69e-192,"sham","45451"
"307","concent_indoor","inlttmp_indoor",-0.12,0,"sham","45451"
"308","concent_outdoor","inlttmp_indoor",-0.46,0,"sham","45451"
"309","concent_ratio","inlttmp_indoor",-0.04,4.12e-87,"sham","45451"
"310","inlttmp_indoor","inlttmp_indoor",1,0,"sham","45451"
"311","inlttmp_outdoor","inlttmp_indoor",1,0,"sham","45451"
"312","inlttmp_ratio","inlttmp_indoor",0.6,0,"sham","45451"
"313","concent_indoor","inlttmp_outdoor",-0.12,0,"sham","45451"
"314","concent_outdoor","inlttmp_outdoor",-0.46,0,"sham","45451"
"315","concent_ratio","inlttmp_outdoor",-0.049,9.4e-127,"sham","45451"
"316","inlttmp_indoor","inlttmp_outdoor",1,0,"sham","45451"
"317","inlttmp_outdoor","inlttmp_outdoor",1,0,"sham","45451"
"318","inlttmp_ratio","inlttmp_outdoor",0.53,0,"sham","45451"
"319","concent_indoor","inlttmp_ratio",-0.0064,0.00163,"sham","45451"
"320","concent_outdoor","inlttmp_ratio",-0.3,0,"sham","45451"
"321","concent_ratio","inlttmp_ratio",0.06,6.69e-192,"sham","45451"
"322","inlttmp_indoor","inlttmp_ratio",0.6,0,"sham","45451"
"323","inlttmp_outdoor","inlttmp_ratio",0.53,0,"sham","45451"
"324","inlttmp_ratio","inlttmp_ratio",1,0,"sham","45451"
"325","concent_indoor","concent_indoor",1,0,"hepa","45451"
"326","concent_outdoor","concent_indoor",0.3,0,"hepa","45451"
"327","concent_ratio","concent_indoor",0.8,0,"hepa","45451"
"328","inlttmp_indoor","concent_indoor",-0.028,1.32e-88,"hepa","45451"
"329","inlttmp_outdoor","concent_indoor",-0.027,9.38e-81,"hepa","45451"
"330","inlttmp_ratio","concent_indoor",-0.026,1.48e-75,"hepa","45451"
"331","concent_indoor","concent_outdoor",0.3,0,"hepa","45451"
"332","concent_outdoor","concent_outdoor",1,0,"hepa","45451"
"333","concent_ratio","concent_outdoor",-0.00058,0.681,"hepa","45451"
"334","inlttmp_indoor","concent_outdoor",-0.3,0,"hepa","45451"
"335","inlttmp_outdoor","concent_outdoor",-0.3,0,"hepa","45451"
"336","inlttmp_ratio","concent_outdoor",0.13,0,"hepa","45451"
"337","concent_indoor","concent_ratio",0.8,0,"hepa","45451"
"338","concent_outdoor","concent_ratio",-0.00058,0.681,"hepa","45451"
"339","concent_ratio","concent_ratio",1,0,"hepa","45451"
"340","inlttmp_indoor","concent_ratio",0.056,0,"hepa","45451"
"341","inlttmp_outdoor","concent_ratio",0.059,0,"hepa","45451"
"342","inlttmp_ratio","concent_ratio",-0.082,0,"hepa","45451"
"343","concent_indoor","inlttmp_indoor",-0.028,1.32e-88,"hepa","45451"
"344","concent_outdoor","inlttmp_indoor",-0.3,0,"hepa","45451"
"345","concent_ratio","inlttmp_indoor",0.056,0,"hepa","45451"
"346","inlttmp_indoor","inlttmp_indoor",1,0,"hepa","45451"
"347","inlttmp_outdoor","inlttmp_indoor",1,0,"hepa","45451"
"348","inlttmp_ratio","inlttmp_indoor",-0.32,0,"hepa","45451"
"349","concent_indoor","inlttmp_outdoor",-0.027,9.38e-81,"hepa","45451"
"350","concent_outdoor","inlttmp_outdoor",-0.3,0,"hepa","45451"
"351","concent_ratio","inlttmp_outdoor",0.059,0,"hepa","45451"
"352","inlttmp_indoor","inlttmp_outdoor",1,0,"hepa","45451"
"353","inlttmp_outdoor","inlttmp_outdoor",1,0,"hepa","45451"
"354","inlttmp_ratio","inlttmp_outdoor",-0.35,0,"hepa","45451"
"355","concent_indoor","inlttmp_ratio",-0.026,1.48e-75,"hepa","45451"
"356","concent_outdoor","inlttmp_ratio",0.13,0,"hepa","45451"
"357","concent_ratio","inlttmp_ratio",-0.082,0,"hepa","45451"
"358","inlttmp_indoor","inlttmp_ratio",-0.32,0,"hepa","45451"
"359","inlttmp_outdoor","inlttmp_ratio",-0.35,0,"hepa","45451"
"360","inlttmp_ratio","inlttmp_ratio",1,0,"hepa","45451"
